ID|name|email|telephone_number|discount
0|Group|catherinerobertson@yahoo.com|269495888|0.77
1|Inc|emily69@yahoo.com|974993097|0.45
2|and Sons|armstrongjackie@smith.biz|636897028|0.40
3|PLC|sue78@yahoo.com|497334843|0.53
4|LLC|ann44@gmail.com|652404157|0.09
5|PLC|derrick99@gmail.com|083301657|0.40
6|and Sons|mwoods@yahoo.com|401938026|0.88
7|and Sons|smithashley@gmail.com|478872874|0.27
8|Ltd|jennifer05@yahoo.com|296685161|0.99
9|and Sons|patrick74@turner-sharp.com|530174268|0.34
10|PLC|susanmendoza@adkins-obrien.biz|833918785|0.28
11|PLC|franklinbond@wilson-harris.org|187072867|0.67
12|Ltd|fosterlisa@hotmail.com|910651801|0.17
13|and Sons|ybrooks@kane-knox.biz|825128682|0.33
14|Group|pmorrow@yahoo.com|243106903|0.64
15|Inc|sanchezbradley@yahoo.com|830284395|0.59
16|LLC|roberthill@fry.biz|056856624|0.88
17|and Sons|meredith27@hart.net|634351751|0.21
18|Group|lopezkathleen@powers.com|033173936|0.46
19|Group|kyle58@yahoo.com|175355609|0.24
20|PLC|elijah53@yahoo.com|785477725|0.75
21|and Sons|combscharles@williams.com|203875099|0.62
22|PLC|smithjennifer@hotmail.com|086211823|0.91
23|LLC|zmiller@yahoo.com|341016668|0.88
24|Inc|vnewman@hotmail.com|803397401|0.98
25|and Sons|alibrenda@hotmail.com|142939685|0.02
26|Ltd|davisjesse@gmail.com|999650477|0.09
27|Group|nmiller@yates-marquez.com|262655110|0.97
28|Inc|lopezshane@hunt.net|995604661|0.17
29|and Sons|dominicturner@yahoo.com|126464715|0.65
30|PLC|trodriguez@rush.org|575692459|0.35
31|Group|jessica79@gmail.com|646519398|0.50
32|Ltd|ssalinas@fuentes.info|434266179|0.17
33|PLC|gibbsmichael@hotmail.com|135290965|0.05
34|LLC|seanmyers@chapman.com|146112545|0.07
35|LLC|kimheather@yahoo.com|401051238|0.57
36|PLC|zhall@hotmail.com|266093796|0.89
37|LLC|lloydamanda@nguyen-ellis.com|859696915|0.98
38|Ltd|powerslawrence@gmail.com|125286692|0.56
39|Group|tracytaylor@wilkinson-harvey.com|723688767|0.76
40|Inc|kellyhill@roberts.info|914858078|0.57
41|LLC|fbaker@grimes-wilson.com|959629233|0.20
42|LLC|tiffany44@adams.com|604223253|0.36
43|Ltd|ebrooks@hotmail.com|684577590|0.16
44|PLC|tammysummers@yahoo.com|545892975|0.91
45|Inc|scottsmith@harris-barker.com|241541520|0.56
46|Ltd|smiththomas@wheeler.info|051627136|0.20
47|LLC|patrickli@gmail.com|189092753|0.69
48|and Sons|taylordavid@cruz.com|413899940|0.98
49|PLC|dphillips@simpson.com|918055269|0.62
