ID|name|email|telephone_number|discount
0|Group|catherinerobertson@yahoo.com|269495888|0.67
1|Inc|emily69@yahoo.com|974993097|0.27
2|and Sons|armstrongjackie@smith.biz|636897028|0.01
3|PLC|sue78@yahoo.com|497334843|0.69
4|LLC|ann44@gmail.com|652404157|0.70
5|PLC|derrick99@gmail.com|083301657|0.39
6|and Sons|mwoods@yahoo.com|401938026|0.77
7|and Sons|smithashley@gmail.com|478872874|0.76
8|Ltd|jennifer05@yahoo.com|296685161|0.66
9|and Sons|patrick74@turner-sharp.com|530174268|0.33
10|PLC|susanmendoza@adkins-obrien.biz|833918785|0.15
11|PLC|franklinbond@wilson-harris.org|187072867|0.92
12|Ltd|fosterlisa@hotmail.com|910651801|0.13
13|and Sons|ybrooks@kane-knox.biz|825128682|0.54
14|Group|pmorrow@yahoo.com|243106903|0.30
15|Inc|sanchezbradley@yahoo.com|830284395|0.26
16|LLC|roberthill@fry.biz|056856624|0.75
17|and Sons|meredith27@hart.net|634351751|0.32
18|Group|lopezkathleen@powers.com|033173936|0.76
19|Group|kyle58@yahoo.com|175355609|0.95
20|PLC|elijah53@yahoo.com|785477725|0.44
21|and Sons|combscharles@williams.com|203875099|0.65
22|PLC|smithjennifer@hotmail.com|086211823|0.11
23|LLC|zmiller@yahoo.com|341016668|0.50
24|Inc|vnewman@hotmail.com|803397401|0.35
25|and Sons|alibrenda@hotmail.com|142939685|0.22
26|Ltd|davisjesse@gmail.com|999650477|0.21
27|Group|nmiller@yates-marquez.com|262655110|0.72
28|Inc|lopezshane@hunt.net|995604661|0.64
29|and Sons|dominicturner@yahoo.com|126464715|0.54
30|PLC|trodriguez@rush.org|575692459|0.37
31|Group|jessica79@gmail.com|646519398|0.42
32|Ltd|ssalinas@fuentes.info|434266179|0.65
33|PLC|gibbsmichael@hotmail.com|135290965|0.70
34|LLC|seanmyers@chapman.com|146112545|0.36
35|LLC|kimheather@yahoo.com|401051238|0.56
36|PLC|zhall@hotmail.com|266093796|0.27
37|LLC|lloydamanda@nguyen-ellis.com|859696915|0.05
38|Ltd|powerslawrence@gmail.com|125286692|0.28
39|Group|tracytaylor@wilkinson-harvey.com|723688767|0.15
40|Inc|kellyhill@roberts.info|914858078|0.26
41|LLC|fbaker@grimes-wilson.com|959629233|0.54
42|LLC|tiffany44@adams.com|604223253|0.81
43|Ltd|ebrooks@hotmail.com|684577590|0.58
44|PLC|tammysummers@yahoo.com|545892975|0.80
45|Inc|scottsmith@harris-barker.com|241541520|0.57
46|Ltd|smiththomas@wheeler.info|051627136|0.50
47|LLC|patrickli@gmail.com|189092753|0.65
48|and Sons|taylordavid@cruz.com|413899940|0.06
49|PLC|dphillips@simpson.com|918055269|0.71
