100|Inc|jenniferwatkins@barnes-burgess.com|153136363|0.67
101|Inc|javierlynch@gmail.com|527354352|0.74
102|and Sons|kellis@robinson-phillips.com|983168739|0.23
103|Ltd|johnhamilton@gmail.com|906007806|0.44
104|Group|christophermullins@hotmail.com|325431074|0.92
105|Inc|tingram@yahoo.com|570165804|0.07
106|PLC|olivermatthew@robertson.com|165790552|0.51
107|and Sons|amberbanks@hotmail.com|355486401|0.27
108|PLC|rmckinney@lam.com|711624112|0.53
109|and Sons|cartertara@huynh.com|310385695|0.15
110|PLC|itorres@yahoo.com|437540254|0.27
111|Ltd|teresafranco@hotmail.com|231059274|0.01
112|Ltd|tiffany25@fernandez-martin.com|067275208|0.57
113|LLC|hmorgan@mendoza.com|069375150|0.87
114|and Sons|andrewryan@yahoo.com|863759980|0.84
115|LLC|alexander55@yahoo.com|813767426|0.87
116|Inc|kevinmcneil@hatfield.biz|064628792|0.42
117|PLC|carsonkevin@hotmail.com|787300244|0.77
118|and Sons|anthonyhubbard@yahoo.com|959796471|0.09
119|LLC|thomassteven@taylor.biz|044818321|0.23
120|LLC|gina51@hotmail.com|202845765|0.32
121|PLC|laurahansen@guerra.net|671120754|0.49
122|PLC|jenniferjohnson@gmail.com|223423216|0.24
123|Group|danielmcguire@watkins.com|401193932|0.96
124|Ltd|michael89@gmail.com|190833428|0.22
125|Ltd|helen27@hotmail.com|256638361|0.66
126|PLC|tfarmer@hawkins-williams.com|164794738|0.31
127|Inc|harry71@yahoo.com|811266912|0.10
128|and Sons|hallroger@yahoo.com|994657967|0.42
129|Inc|tracy32@garcia.com|026952499|0.94
130|Group|ebony78@daniels-pacheco.net|061675677|0.16
131|Ltd|travistaylor@hotmail.com|719788977|0.10
132|Group|ygarza@hotmail.com|450090255|0.51
133|Inc|victoria65@gmail.com|334911415|0.93
134|Inc|abradley@yahoo.com|790569659|0.79
135|LLC|garrett45@yahoo.com|718344049|0.19
136|Ltd|joshua98@simmons-reed.com|846853664|0.67
137|and Sons|barbaralewis@hurley.org|908357232|0.69
138|Inc|sadams@martin.com|230347786|0.36
139|LLC|greenlinda@pierce.info|015941651|0.93
140|PLC|tyler13@martinez.org|363212347|0.94
141|Group|stewartrodney@hotmail.com|425754090|0.86
142|Group|rebecca18@gmail.com|606441343|0.63
143|Inc|morrowshelby@yahoo.com|561248156|0.79
144|Ltd|davidsonisaiah@gibbs-taylor.biz|459112382|0.66
145|Group|glenn95@gonzalez-perry.com|693008931|0.46
146|Inc|jburke@gmail.com|291086771|0.12
147|LLC|nanderson@hotmail.com|436262044|0.08
148|LLC|smithdean@yahoo.com|366941180|0.10
149|LLC|kingchristine@madden-lambert.com|924287572|0.91
